
|SF,Ch/s| BW,kHz | CR  | bit/s   | Byte/s  |
|   512 | 250.00 | 4/5 |  3515.6 |   439.5 |
|    32 |  41.67 | 4/7 |  3720.5 |   465.1 |
|    32 |  31.25 | 4/5 |  3906.3 |   488.3 |
|    64 |  62.50 | 4/6 |  3906.3 |   488.3 |
|   128 | 125.00 | 4/7 |  3906.3 |   488.3 |
|   256 | 250.00 | 4/8 |  3906.3 |   488.3 |
|  1024 | 500.00 | 4/5 |  3906.3 |   488.3 |
|    32 |  41.67 | 4/6 |  4340.6 |   542.6 |
|   512 | 500.00 | 4/8 |  4394.5 |   549.3 |
|   256 | 250.00 | 4/7 |  4464.3 |   558.0 |
|   128 | 125.00 | 4/6 |  4557.3 |   569.7 |
|    64 |  62.50 | 4/5 |  4687.5 |   585.9 |
|    32 |  62.50 | 4/8 |  4882.8 |   610.4 |
|   512 | 500.00 | 4/7 |  5022.3 |   627.8 |
|   256 | 250.00 | 4/6 |  5208.3 |   651.0 |
|    32 |  41.67 | 4/5 |  5208.8 |   651.1 |
|   128 | 125.00 | 4/5 |  5468.8 |   683.6 |
|    32 |  62.50 | 4/7 |  5580.4 |   697.5 |
|    64 | 125.00 | 4/8 |  5859.4 |   732.4 |
|   512 | 500.00 | 4/6 |  5859.4 |   732.4 |
|   256 | 250.00 | 4/5 |  6250.0 |   781.3 |
|    32 |  62.50 | 4/6 |  6510.4 |   813.8 |
|    64 | 125.00 | 4/7 |  6696.4 |   837.1 |
|   128 | 250.00 | 4/8 |  6835.9 |   854.5 |
|   512 | 500.00 | 4/5 |  7031.3 |   878.9 |
|    32 |  62.50 | 4/5 |  7812.5 |   976.6 |
|    64 | 125.00 | 4/6 |  7812.5 |   976.6 |
|   128 | 250.00 | 4/7 |  7812.5 |   976.6 |
|   256 | 500.00 | 4/8 |  7812.5 |   976.6 |
|   256 | 500.00 | 4/7 |  8928.6 |  1116.1 |
|   128 | 250.00 | 4/6 |  9114.6 |  1139.3 |
|    64 | 125.00 | 4/5 |  9375.0 |  1171.9 |
|    32 | 125.00 | 4/8 |  9765.6 |  1220.7 |
|   256 | 500.00 | 4/6 | 10416.7 |  1302.1 |
|   128 | 250.00 | 4/5 | 10937.5 |  1367.2 |
|    32 | 125.00 | 4/7 | 11160.7 |  1395.1 |
|    64 | 250.00 | 4/8 | 11718.8 |  1464.8 |
|   256 | 500.00 | 4/5 | 12500.0 |  1562.5 |
|    32 | 125.00 | 4/6 | 13020.8 |  1627.6 |
|    64 | 250.00 | 4/7 | 13392.9 |  1674.1 |
|   128 | 500.00 | 4/8 | 13671.9 |  1709.0 |
|    32 | 125.00 | 4/5 | 15625.0 |  1953.1 |
|    64 | 250.00 | 4/6 | 15625.0 |  1953.1 |
|   128 | 500.00 | 4/7 | 15625.0 |  1953.1 |
|   128 | 500.00 | 4/6 | 18229.2 |  2278.6 |
|    64 | 250.00 | 4/5 | 18750.0 |  2343.8 |
|    32 | 250.00 | 4/8 | 19531.3 |  2441.4 |
|   128 | 500.00 | 4/5 | 21875.0 |  2734.4 |
|    32 | 250.00 | 4/7 | 22321.4 |  2790.2 |
|    64 | 500.00 | 4/8 | 23437.5 |  2929.7 |
|    32 | 250.00 | 4/6 | 26041.7 |  3255.2 |
|    64 | 500.00 | 4/7 | 26785.7 |  3348.2 |
|    32 | 250.00 | 4/5 | 31250.0 |  3906.3 |
|    64 | 500.00 | 4/6 | 31250.0 |  3906.3 |
|    64 | 500.00 | 4/5 | 37500.0 |  4687.5 |
|    32 | 500.00 | 4/8 | 39062.5 |  4882.8 |
|    32 | 500.00 | 4/7 | 44642.9 |  5580.4 |
|    32 | 500.00 | 4/6 | 52083.3 |  6510.4 |
|    32 | 500.00 | 4/5 | 62500.0 |  7812.5 |
