+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
|  91 |  128  | 31.25 |4/7 |  976.6 |  122.1 |    4.1 |   50.2 | 2233.3 |
|  92 |  128  | 31.25 |4/8 |  854.5 |  106.8 |    4.1 |   50.2 | 2540.5 |
|  93 |  128  | 62.50 |4/5 | 2734.4 |  341.8 |    2.0 |   25.1 |  809.5 |
|  94 |  128  | 62.50 |4/6 | 2278.6 |  284.8 |    2.0 |   25.1 |  963.1 |
|  95 |  128  | 62.50 |4/7 | 1953.1 |  244.1 |    2.0 |   25.1 | 1116.7 |
|  96 |  128  | 62.50 |4/8 | 1709.0 |  213.6 |    2.0 |   25.1 | 1270.3 |
|  97 |  128  |125.00 |4/5 | 5468.8 |  683.6 |    1.0 |   12.5 |  404.7 |
|  98 |  128  |125.00 |4/6 | 4557.3 |  569.7 |    1.0 |   12.5 |  481.5 |
|  99 |  128  |125.00 |4/7 | 3906.3 |  488.3 |    1.0 |   12.5 |  558.3 |
| 100 |  128  |125.00 |4/8 | 3418.0 |  427.2 |    1.0 |   12.5 |  635.1 |
| 101 |  128  |250.00 |4/5 |10937.5 | 1367.2 |    0.5 |    6.3 |  202.4 |
| 102 |  128  |250.00 |4/6 | 9114.6 | 1139.3 |    0.5 |    6.3 |  240.8 |
| 103 |  128  |250.00 |4/7 | 7812.5 |  976.6 |    0.5 |    6.3 |  279.2 |
| 104 |  128  |250.00 |4/8 | 6835.9 |  854.5 |    0.5 |    6.3 |  317.6 |
| 105 |  128  |500.00 |4/5 |21875.0 | 2734.4 |    0.3 |    3.1 |  101.2 |
| 106 |  128  |500.00 |4/6 |18229.2 | 2278.6 |    0.3 |    3.1 |  120.4 |
| 107 |  128  |500.00 |4/7 |15625.0 | 1953.1 |    0.3 |    3.1 |  139.6 |
| 108 |  128  |500.00 |4/8 |13671.9 | 1709.0 |    0.3 |    3.1 |  158.8 |
| 109 |  128  | 10.42 |4/5 |  455.9 |   57.0 |   12.3 |  150.5 | 4855.3 |
| 110 |  128  | 10.42 |4/6 |  379.9 |   47.5 |   12.3 |  150.5 | 5776.6 |
| 111 |  128  | 10.42 |4/7 |  325.6 |   40.7 |   12.3 |  150.5 | 6697.9 |
| 112 |  128  | 10.42 |4/8 |  284.9 |   35.6 |   12.3 |  150.5 | 7619.2 |
| 113 |  128  | 20.83 |4/5 |  911.3 |  113.9 |    6.1 |   75.3 | 2428.8 |
| 114 |  128  | 20.83 |4/6 |  759.4 |   94.9 |    6.1 |   75.3 | 2889.7 |
| 115 |  128  | 20.83 |4/7 |  650.9 |   81.4 |    6.1 |   75.3 | 3350.6 |
| 116 |  128  | 20.83 |4/8 |  569.6 |   71.2 |    6.1 |   75.3 | 3811.4 |
| 117 |  128  | 41.67 |4/5 | 1823.1 |  227.9 |    3.1 |   37.6 | 1214.1 |
| 118 |  128  | 41.67 |4/6 | 1519.2 |  189.9 |    3.1 |   37.6 | 1444.5 |
| 119 |  128  | 41.67 |4/7 | 1302.2 |  162.8 |    3.1 |   37.6 | 1674.9 |
| 120 |  128  | 41.67 |4/8 | 1139.4 |  142.4 |    3.1 |   37.6 | 1905.3 |
| 121 |  256  |  7.81 |4/5 |  195.3 |   24.4 |   32.8 |  401.5 |11316.8 |
| 122 |  256  |  7.81 |4/6 |  162.7 |   20.3 |   32.8 |  401.5 |13447.4 |
| 123 |  256  |  7.81 |4/7 |  139.5 |   17.4 |   32.8 |  401.5 |15578.0 |
| 124 |  256  |  7.81 |4/8 |  122.0 |   15.3 |   32.8 |  401.5 |17708.6 |
| 125 |  256  | 15.63 |4/5 |  390.8 |   48.8 |   16.4 |  200.6 | 5654.8 |
| 126 |  256  | 15.63 |4/6 |  325.6 |   40.7 |   16.4 |  200.6 | 6719.4 |
| 127 |  256  | 15.63 |4/7 |  279.1 |   34.9 |   16.4 |  200.6 | 7784.0 |
| 128 |  256  | 15.63 |4/8 |  244.2 |   30.5 |   16.4 |  200.6 | 8848.6 |
| 129 |  256  | 31.25 |4/5 |  781.3 |   97.7 |    8.2 |  100.4 | 2828.3 |
| 130 |  256  | 31.25 |4/6 |  651.0 |   81.4 |    8.2 |  100.4 | 3360.8 |
| 131 |  256  | 31.25 |4/7 |  558.0 |   69.8 |    8.2 |  100.4 | 3893.2 |
| 132 |  256  | 31.25 |4/8 |  488.3 |   61.0 |    8.2 |  100.4 | 4425.7 |
| 133 |  256  | 62.50 |4/5 | 1562.5 |  195.3 |    4.1 |   50.2 | 1414.1 |
| 134 |  256  | 62.50 |4/6 | 1302.1 |  162.8 |    4.1 |   50.2 | 1680.4 |
| 135 |  256  | 62.50 |4/7 | 1116.1 |  139.5 |    4.1 |   50.2 | 1946.6 |
| 136 |  256  | 62.50 |4/8 |  976.6 |  122.1 |    4.1 |   50.2 | 2212.9 |
| 137 |  256  |125.00 |4/5 | 3125.0 |  390.6 |    2.0 |   25.1 |  707.1 |
| 138 |  256  |125.00 |4/6 | 2604.2 |  325.5 |    2.0 |   25.1 |  840.2 |
| 139 |  256  |125.00 |4/7 | 2232.1 |  279.0 |    2.0 |   25.1 |  973.3 |
| 140 |  256  |125.00 |4/8 | 1953.1 |  244.1 |    2.0 |   25.1 | 1106.4 |
| 141 |  256  |250.00 |4/5 | 6250.0 |  781.3 |    1.0 |   12.5 |  353.5 |
| 142 |  256  |250.00 |4/6 | 5208.3 |  651.0 |    1.0 |   12.5 |  420.1 |
| 143 |  256  |250.00 |4/7 | 4464.3 |  558.0 |    1.0 |   12.5 |  486.7 |
| 144 |  256  |250.00 |4/8 | 3906.3 |  488.3 |    1.0 |   12.5 |  553.2 |
| 145 |  256  |500.00 |4/5 |12500.0 | 1562.5 |    0.5 |    6.3 |  176.8 |
| 146 |  256  |500.00 |4/6 |10416.7 | 1302.1 |    0.5 |    6.3 |  210.0 |
| 147 |  256  |500.00 |4/7 | 8928.6 | 1116.1 |    0.5 |    6.3 |  243.3 |
| 148 |  256  |500.00 |4/8 | 7812.5 |  976.6 |    0.5 |    6.3 |  276.6 |
| 149 |  256  | 10.42 |4/5 |  260.5 |   32.6 |   24.6 |  301.0 | 8482.2 |
| 150 |  256  | 10.42 |4/6 |  217.1 |   27.1 |   24.6 |  301.0 |10079.1 |
| 151 |  256  | 10.42 |4/7 |  186.1 |   23.3 |   24.6 |  301.0 |11676.0 |
| 152 |  256  | 10.42 |4/8 |  162.8 |   20.4 |   24.6 |  301.0 |13272.9 |
| 153 |  256  | 20.83 |4/5 |  520.8 |   65.1 |   12.3 |  150.6 | 4243.1 |
| 154 |  256  | 20.83 |4/6 |  434.0 |   54.2 |   12.3 |  150.6 | 5042.0 |
| 155 |  256  | 20.83 |4/7 |  372.0 |   46.5 |   12.3 |  150.6 | 5840.8 |
| 156 |  256  | 20.83 |4/8 |  325.5 |   40.7 |   12.3 |  150.6 | 6639.7 |
| 157 |  256  | 41.67 |4/5 | 1041.8 |  130.2 |    6.1 |   75.3 | 2121.0 |
| 158 |  256  | 41.67 |4/6 |  868.1 |  108.5 |    6.1 |   75.3 | 2520.4 |
| 159 |  256  | 41.67 |4/7 |  744.1 |   93.0 |    6.1 |   75.3 | 2919.7 |
| 160 |  256  | 41.67 |4/8 |  651.1 |   81.4 |    6.1 |   75.3 | 3319.0 |
| 161 |  512  |  7.81 |4/5 |  109.8 |   13.7 |   65.6 |  803.1 |20339.1 |
| 162 |  512  |  7.81 |4/6 |   91.5 |   11.4 |   65.6 |  803.1 |24141.4 |
| 163 |  512  |  7.81 |4/7 |   78.4 |    9.8 |   65.6 |  803.1 |27943.7 |
| 164 |  512  |  7.81 |4/8 |   68.6 |    8.6 |   65.6 |  803.1 |31746.0 |
| 165 |  512  | 15.63 |4/5 |  219.8 |   27.5 |   32.8 |  401.3 |10163.0 |
| 166 |  512  | 15.63 |4/6 |  183.2 |   22.9 |   32.8 |  401.3 |12063.0 |
| 167 |  512  | 15.63 |4/7 |  157.0 |   19.6 |   32.8 |  401.3 |13962.9 |
| 168 |  512  | 15.63 |4/8 |  137.4 |   17.2 |   32.8 |  401.3 |15862.8 |
| 169 |  512  | 31.25 |4/5 |  439.5 |   54.9 |   16.4 |  200.7 | 5083.1 |
| 170 |  512  | 31.25 |4/6 |  366.2 |   45.8 |   16.4 |  200.7 | 6033.4 |
| 171 |  512  | 31.25 |4/7 |  313.9 |   39.2 |   16.4 |  200.7 | 6983.7 |
| 172 |  512  | 31.25 |4/8 |  274.7 |   34.3 |   16.4 |  200.7 | 7934.0 |
| 173 |  512  | 62.50 |4/5 |  878.9 |  109.9 |    8.2 |  100.4 | 2541.6 |
| 174 |  512  | 62.50 |4/6 |  732.4 |   91.6 |    8.2 |  100.4 | 3016.7 |
| 175 |  512  | 62.50 |4/7 |  627.8 |   78.5 |    8.2 |  100.4 | 3491.8 |
| 176 |  512  | 62.50 |4/8 |  549.3 |   68.7 |    8.2 |  100.4 | 3967.0 |
| 177 |  512  |125.00 |4/5 | 1757.8 |  219.7 |    4.1 |   50.2 | 1270.8 |
| 178 |  512  |125.00 |4/6 | 1464.8 |  183.1 |    4.1 |   50.2 | 1508.4 |
| 179 |  512  |125.00 |4/7 | 1255.6 |  156.9 |    4.1 |   50.2 | 1745.9 |
| 180 |  512  |125.00 |4/8 | 1098.6 |  137.3 |    4.1 |   50.2 | 1983.5 |
| 181 |  512  |250.00 |4/5 | 3515.6 |  439.5 |    2.0 |   25.1 |  635.4 |
| 182 |  512  |250.00 |4/6 | 2929.7 |  366.2 |    2.0 |   25.1 |  754.2 |
| 183 |  512  |250.00 |4/7 | 2511.2 |  313.9 |    2.0 |   25.1 |  873.0 |
| 184 |  512  |250.00 |4/8 | 2197.3 |  274.7 |    2.0 |   25.1 |  991.7 |
| 185 |  512  |500.00 |4/5 | 7031.3 |  878.9 |    1.0 |   12.5 |  317.7 |
| 186 |  512  |500.00 |4/6 | 5859.4 |  732.4 |    1.0 |   12.5 |  377.1 |
| 187 |  512  |500.00 |4/7 | 5022.3 |  627.8 |    1.0 |   12.5 |  436.5 |
| 188 |  512  |500.00 |4/8 | 4394.5 |  549.3 |    1.0 |   12.5 |  495.9 |
| 189 |  512  | 10.42 |4/5 |  146.5 |   18.3 |   49.1 |  601.9 |15244.5 |
| 190 |  512  | 10.42 |4/6 |  122.1 |   15.3 |   49.1 |  601.9 |18094.4 |
| 191 |  512  | 10.42 |4/7 |  104.7 |   13.1 |   49.1 |  601.9 |20944.3 |
| 192 |  512  | 10.42 |4/8 |   91.6 |   11.4 |   49.1 |  601.9 |23794.2 |
| 193 |  512  | 20.83 |4/5 |  292.9 |   36.6 |   24.6 |  301.1 | 7625.9 |
| 194 |  512  | 20.83 |4/6 |  244.1 |   30.5 |   24.6 |  301.1 | 9051.6 |
| 195 |  512  | 20.83 |4/7 |  209.2 |   26.2 |   24.6 |  301.1 |10477.2 |
| 196 |  512  | 20.83 |4/8 |  183.1 |   22.9 |   24.6 |  301.1 |11902.8 |
| 197 |  512  | 41.67 |4/5 |  586.0 |   73.2 |   12.3 |  150.5 | 3812.0 |
| 198 |  512  | 41.67 |4/6 |  488.3 |   61.0 |   12.3 |  150.5 | 4524.7 |
| 199 |  512  | 41.67 |4/7 |  418.6 |   52.3 |   12.3 |  150.5 | 5237.3 |
